ros_time,header_seq,header_stamp_sec,header_stamp_nsec,frame_id,joint_name,position,velocity,acceleration,effort
1778125822.6498134,10290,1778125822,645506383,,LF_HAA,-0.09683254361152649,0.004326124569214869,0.00014376700637764474,-7.663904666900635
1778125822.6498134,10290,1778125822,645506383,,LF_HFE,0.8798578381538391,-1.6162029403873725e-06,0.0026390946572665045,-5.610288143157959
1778125822.6498134,10290,1778125822,645506383,,LF_KFE,-1.2264416217803955,2.848324442341614e-24,-0.002151896708659236,24.41121482849121
1778125822.6498134,10290,1778125822,645506383,,RF_HAA,0.09594570845365524,0.001408182511692019,-0.011414255636991598,5.394204616546631
1778125822.6498134,10290,1778125822,645506383,,RF_HFE,0.7466172575950623,5.888698017633815e-11,-0.00016772455744866734,5.917708396911621
1778125822.6498134,10290,1778125822,645506383,,RF_KFE,-1.3179532289505005,-0.0014456447228101486,0.00017206827819159538,30.532140731811523
1778125822.6498134,10290,1778125822,645506383,,LH_HAA,-0.2798556387424469,0.0014656850425222854,-0.002734418009200065,4.945092678070068
1778125822.6498134,10290,1778125822,645506383,,LH_HFE,-0.9583305716514587,-0.0007864912869951957,0.002237039711207048,15.209503173828125
1778125822.6498134,10290,1778125822,645506383,,LH_KFE,1.2199221849441528,0.0007968504049702303,-0.007816275330098434,-20.42758560180664
1778125822.6498134,10290,1778125822,645506383,,RH_HAA,0.1480051875114441,0.0027227351454190375,-0.0064866049009402686,4.6063032150268555
1778125822.6498134,10290,1778125822,645506383,,RH_HFE,-0.9172965884208679,-0.003257312329275916,9.810513942522279e-05,6.141817569732666
1778125822.6498134,10290,1778125822,645506383,,RH_KFE,1.2727007865905762,0.002923742235123528,-0.005905034887262451,-24.48359489440918
1778125822.6525884,10291,1778125822,648076602,,LF_HAA,-0.09683254361152649,0.0022990797262798413,-0.008811839066752735,-7.662365436553955
1778125822.6525884,10291,1778125822,648076602,,LF_HFE,0.8798578381538391,-8.589165392262307e-07,0.0027074322420869274,-5.610289096832275
1778125822.6525884,10291,1778125822,648076602,,LF_KFE,-1.2264416217803955,1.5137163423715704e-24,-0.002145374434694631,24.41121482849121
1778125822.6525884,10291,1778125822,648076602,,RF_HAA,0.09596967697143555,0.003857983761842597,0.0025650864118593546,5.3602142333984375
1778125822.6525884,10291,1778125822,648076602,,RF_HFE,0.7466172575950623,2.816546240657167e-11,-0.00017611974447523783,5.917708396911621
1778125822.6525884,10291,1778125822,648076602,,RF_KFE,-1.3179532289505005,-0.0006914473036508395,0.003743658079338076,30.53129005432129
1778125822.6525884,10291,1778125822,648076602,,LH_HAA,-0.2798556387424469,0.0007789252209810339,-0.006550731817417072,4.945578098297119
1778125822.6525884,10291,1778125822,648076602,,LH_HFE,-0.9583305716514587,-0.0003761763641126446,0.00539048407663202,15.177122116088867
1778125822.6525884,10291,1778125822,648076602,,LH_KFE,1.2199461460113525,0.004354903873893188,0.005512376751665486,-20.46155548095703
1778125822.6525884,10291,1778125822,648076602,,RH_HAA,0.1480051875114441,0.001446973149953995,-0.011143576000955417,4.638293743133545
1778125822.6525884,10291,1778125822,648076602,,RH_HFE,-0.9172965884208679,-0.0017310694027508787,0.006820989352823449,6.110586643218994
1778125822.6525884,10291,1778125822,648076602,,RH_KFE,1.2727007865905762,0.0015537965009086744,-0.0137940831747419,-24.48263168334961
1778125822.6551707,10292,1778125822,650610955,,LF_HAA,-0.09683254361152649,0.0010996427508201483,-0.016218655719920413,-7.661454200744629
1778125822.6551707,10292,1778125822,650610955,,LF_HFE,0.8798578381538391,-4.564634421059935e-07,0.002767647315619771,-5.610289096832275
1778125822.6551707,10292,1778125822,650610955,,LF_KFE,-1.2264416217803955,8.0445088787693495e-25,-0.002138852745897258,24.41121482849121
1778125822.6551707,10292,1778125822,650610955,,RF_HAA,0.09596967697143555,0.0020502908062703267,-0.007846028353050313,5.362147331237793
1778125822.6551707,10292,1778125822,650610955,,RF_HFE,0.7466172575950623,1.4968282122309198e-11,-0.00018287070910858396,5.917708396911621
1778125822.6551707,10292,1778125822,650610955,,RF_KFE,-1.3179532289505005,-0.0003674634678522093,0.0060873312547331145,30.530925750732422
1778125822.6551707,10292,1778125822,650610955,,LH_HAA,-0.2798316478729248,0.003910839967325239,0.005145780014011307,4.94336462020874
1778125822.6551707,10292,1778125822,650610955,,LH_HFE,-0.9583545327186584,-0.004131340342908092,-0.0058630444570496295,15.211906433105469
1778125822.6551707,10292,1778125822,650610955,,LH_KFE,1.2199461460113525,0.0023143742422149635,-4.625746966642758e-06,-20.42928123474121
1778125822.6551707,10292,1778125822,650610955,,RH_HAA,0.1480291485786438,0.006761093195431885,0.005736862506207752,4.601043224334717
1778125822.6551707,10292,1778125822,650610955,,RH_HFE,-0.9173205494880676,-0.005288211668766196,-0.009075418673710874,6.143328666687012
1778125822.6551707,10292,1778125822,650610955,,RH_KFE,1.2727247476577759,0.0046746010183720136,0.0018248063663192818,-24.51708221435547
1778125822.6572902,10293,1778125822,653226503,,LF_HAA,-0.09680857509374619,0.0037104100475669555,-0.0021253792703872076,-7.663437366485596
1778125822.6572902,10293,1778125822,653226503,,LF_HFE,0.8798578381538391,-2.1832504649547507e-07,0.0028289065225497235,-5.610289573669434
1778125822.6572902,10293,1778125822,653226503,,LF_KFE,-1.2264416217803955,3.8476633572548093e-25,-0.00213124713233102,24.41121482849121
1778125822.6572902,10293,1778125822,653226503,,RF_HAA,0.09599364548921585,0.0045189305401669875,0.006733073047708833,5.328137397766113
1778125822.6572902,10293,1778125822,653226503,,RF_HFE,0.7466172575950623,7.159281715889345e-12,-0.0001902668571878389,5.917708396911621
1778125822.6572902,10293,1778125822,653226503,,RF_KFE,-1.3179532289505005,-0.0001757566482079637,0.008205398275392912,30.530710220336914
1778125822.6572902,10293,1778125822,653226503,,LH_HAA,-0.2798316478729248,0.0020783805888939513,-0.0006403921941434552,4.94465970993042
1778125822.6572902,10293,1778125822,653226503,,LH_HFE,-0.9583545327186584,-0.0019760073372085303,-0.0005288673170656269,15.210357666015625
1778125822.6572902,10293,1778125822,653226503,,LH_KFE,1.2199701070785522,0.004291412449030018,0.01137372695452358,-20.461484909057617
1778125822.6572902,10293,1778125822,653226503,,RH_HAA,0.1480291485786438,0.0032338100626931295,-0.0029273661757894887,4.605638027191162
1778125822.6572902,10293,1778125822,653226503,,RH_HFE,-0.9173205494880676,-0.0025293354247824798,0.0013946828987122855,6.141275405883789
1778125822.6572902,10293,1778125822,653226503,,RH_KFE,1.2727247476577759,0.0024842746221048926,-0.008035361161426507,-24.515541076660156
1778125822.66005,10294,1778125822,655765836,,LF_HAA,-0.09680857509374619,0.001971864158152302,-0.010215572551982088,-7.692516326904297
1778125822.66005,10294,1778125822,655765836,,LF_HFE,0.8798578381538391,-1.0442419492496273e-07,0.0028817061618666337,-5.610289096832275
1778125822.66005,10294,1778125822,655765836,,LF_KFE,-1.2264416217803955,1.8403254271084032e-25,-0.0021236469803256114,24.41121482849121
1778125822.66005,10294,1778125822,655765836,,RF_HAA,0.09599364548921585,0.00240154484922064,-0.0049913411177732805,5.361771583557129
1778125822.66005,10294,1778125822,655765836,,RF_HFE,0.7466172575950623,3.804736264577823e-12,-0.00019622384741563079,5.917708396911621
1778125822.66005,10294,1778125822,655765836,,RF_KFE,-1.3179532289505005,-9.340428990168565e-05,0.00961986528809772,30.50044822692871
1778125822.66005,10294,1778125822,655765836,,LH_HAA,-0.2798316478729248,0.0009940830685023399,-0.005648839700656966,4.945425987243652
1778125822.66005,10294,1778125822,655765836,,LH_HFE,-0.9583545327186584,-0.0010501313612339427,0.0029109114682896358,15.20969295501709
1778125822.66005,10294,1778125822,655765836,,LH_KFE,1.2199701070785522,0.002052569252414849,0.0031907538478956263,-20.42898941040039
1778125822.66005,10294,1778125822,655765836,,RH_HAA,0.1480291485786438,0.0015467212439101068,-0.009037769014022853,4.638163089752197
1778125822.66005,10294,1778125822,655765836,,RH_HFE,-0.9173205494880676,-0.001209773271912691,0.008735864854502794,6.140293598175049
1778125822.66005,10294,1778125822,655765836,,RH_KFE,1.2727247476577759,0.0011882206850180796,-0.016160479173967093,-24.48237419128418
1778125822.6624322,10295,1778125822,658019774,,LF_HAA,-0.09678460657596588,0.006935249106486531,0.008604885702695384,-7.696285724639893
1778125822.6624322,10295,1778125822,658019774,,LF_HFE,0.8798578381538391,-4.9945770918026824e-08,0.0029271356199001963,-5.610289573669434
